Time,Sat Nov  9 15:32:44 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.05
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1526
338.1,1414,1491
338.5,1552,1624
339,1445,1512
339.4,1483,1553
339.9,1384,1448
340.3,1569,1642
340.8,1567,1636
341.3,1290,1355
341.7,1482,1551
342.2,1562,1638
342.6,1459,1534
343.1,1529,1601
343.5,1548,1624
344,1551,1622
344.5,1503,1575
344.9,1494,1567
345.4,1488,1561
345.8,1478,1555
346.3,1540,1614
346.7,1523,1596
347.2,1432,1508
347.7,1513,1582
348.1,1492,1565
348.6,1365,1436
349,1558,1617
349.5,1499,1572
349.9,1554,1625
350.4,1441,1508
350.9,1500,1570
351.3,1566,1636
351.8,1522,1593
352.2,1557,1627
352.7,1472,1546
353.1,1475,1551
353.6,1533,1605
354.1,1511,1578
354.5,1433,1504
355,1439,1509
355.4,1521,1594
355.9,1525,1598
356.3,1547,1614
356.8,1508,1586
357.3,1543,1616
357.7,1502,1574
358.2,1560,1625
358.6,1514,1589
359.1,1562,1636
359.5,1518,1590
360,1495,1552
360.5,1545,1621
360.9,1516,1589
361.4,1499,1566
361.8,1558,1635
362.3,1464,1537
362.7,1457,1522
363.2,1501,1577
363.7,1544,1617
364.1,1551,1623
364.6,1537,1612
365,1426,1495
365.5,1377,1443
366,1253,1308
366.4,1445,1520
366.9,1487,1560
367.3,1539,1608
367.8,1567,1643
368.2,1566,1647
368.7,1439,1508
369.2,1502,1575
369.6,1524,1601
370.1,1532,1602
370.5,1522,1595
371,1522,1591
371.5,1433,1501
371.9,1426,1494
372.4,1498,1576
372.8,1510,1583
373.3,1520,1591
373.8,1524,1591
374.2,1551,1617
374.7,1534,1613
375.1,1494,1568
375.6,1553,1625
376,1511,1581
376.5,1462,1533
377,1541,1609
377.4,1551,1621
377.9,1473,1546
378.3,1523,1598
378.8,1583,1654
379.3,1556,1630
379.7,1517,1588
380.2,1520,1595
380.6,1577,1644
381.1,1524,1599
381.6,1536,1609
382,1521,1591
382.5,1534,1609
382.9,1542,1614
383.4,1561,1630
383.9,1491,1563
384.3,1504,1577
384.8,1518,1592
385.2,1479,1550
385.7,1476,1547
386.2,1572,1637
386.6,1513,1584
387.1,1432,1507
387.5,1543,1616
388,1552,1620
388.5,1417,1485
388.9,1575,1650
389.4,1567,1633
389.8,1542,1614
390.3,1441,1507
390.8,1534,1606
391.2,1515,1588
391.7,1499,1570
392.1,1530,1592
392.6,1494,1566
393.1,1531,1603
393.5,1469,1540
394,1584,1659
394.4,1300,1381
394.9,1539,1604
395.4,1539,1605
395.8,1569,1642
396.3,1553,1629
396.7,1502,1574
397.2,1548,1597
397.7,1489,1551
398.1,1532,1604
398.6,1408,1473
399,1565,1636
399.5,1507,1579
400,1561,1634
400.4,1556,1628
400.9,1554,1632
401.3,1553,1622
401.8,1519,1591
402.3,1512,1585
402.7,1519,1591
403.2,1530,1589
403.6,1502,1575
404.1,1505,1575
404.6,1523,1593
405,1526,1594
405.5,1535,1606
406,1503,1573
406.4,1465,1543
406.9,1561,1636
407.3,1528,1601
407.8,1511,1585
408.3,1553,1626
408.7,1364,1433
409.2,1552,1624
409.6,1518,1587
410.1,1554,1628
410.6,1551,1616
411,1501,1570
411.5,1470,1541
412,1510,1587
412.4,1569,1640
412.9,1551,1624
413.3,1578,1647
413.8,1512,1588
414.3,1501,1574
414.7,1537,1608
415.2,1542,1619
415.6,1538,1611
416.1,1517,1584
416.6,1552,1627
417,1588,1657
417.5,1480,1551
418,1552,1626
418.4,1528,1600
418.9,1333,1396
419.3,1444,1517
419.8,1552,1625
420.3,1546,1622
420.7,1462,1532
421.2,1473,1541
421.7,1546,1618
422.1,1384,1459
