Time,Wed Sep 25 13:11:57 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.87
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1451,1541
338.1,1407,1497
338.5,1560,1648
339,1441,1529
339.4,1483,1567
339.9,1372,1455
340.3,1580,1666
340.8,1577,1671
341.3,1267,1355
341.7,1482,1573
342.2,1571,1659
342.6,1456,1542
343.1,1535,1622
343.5,1556,1648
344,1559,1648
344.5,1505,1592
344.9,1496,1584
345.4,1488,1578
345.8,1477,1567
346.3,1547,1634
346.7,1528,1620
347.2,1427,1515
347.7,1517,1606
348.1,1493,1580
348.6,1351,1434
349,1566,1650
349.5,1501,1590
349.9,1562,1649
350.4,1436,1517
350.9,1502,1589
351.3,1576,1664
351.8,1526,1617
352.2,1566,1656
352.7,1471,1557
353.1,1474,1568
353.6,1539,1629
354.1,1514,1602
354.5,1427,1517
355,1434,1518
355.4,1525,1615
355.9,1530,1622
356.3,1555,1641
356.8,1511,1600
357.3,1550,1640
357.7,1505,1593
358.2,1569,1656
358.6,1518,1607
359.1,1571,1663
359.5,1522,1615
360,1496,1588
360.5,1553,1648
360.9,1520,1610
361.4,1501,1583
361.8,1567,1654
362.3,1462,1554
362.7,1454,1541
363.2,1503,1592
363.7,1552,1638
364.1,1559,1644
364.6,1544,1635
365,1419,1508
365.5,1364,1453
366,1226,1305
366.4,1441,1527
366.9,1487,1579
367.3,1546,1631
367.8,1577,1667
368.2,1576,1664
368.7,1434,1527
369.2,1504,1597
369.6,1529,1617
370.1,1538,1627
370.5,1527,1614
371,1527,1614
371.5,1427,1517
371.9,1419,1501
372.4,1499,1588
372.8,1513,1600
373.3,1524,1610
373.8,1528,1621
374.2,1559,1644
374.7,1540,1626
375.1,1496,1583
375.6,1561,1651
376,1515,1600
376.5,1460,1548
377,1548,1634
377.4,1559,1648
377.9,1471,1561
378.3,1528,1612
378.8,1595,1676
379.3,1564,1652
379.7,1521,1611
380.2,1524,1617
380.6,1589,1686
381.1,1529,1620
381.6,1542,1630
382,1526,1615
382.5,1540,1628
382.9,1550,1632
383.4,1571,1654
383.9,1492,1579
384.3,1506,1594
384.8,1523,1614
385.2,1479,1565
385.7,1475,1562
386.2,1582,1667
386.6,1516,1610
387.1,1426,1519
387.5,1550,1641
388,1560,1648
388.5,1409,1499
388.9,1586,1674
389.4,1577,1664
389.8,1549,1641
390.3,1436,1520
390.8,1541,1632
391.2,1519,1610
391.7,1501,1592
392.1,1535,1624
392.6,1495,1586
393.1,1537,1627
393.5,1468,1555
394,1596,1686
394.4,1279,1374
394.9,1546,1635
395.4,1546,1639
395.8,1579,1666
396.3,1561,1654
396.7,1504,1590
397.2,1556,1649
397.7,1490,1573
398.1,1538,1623
398.6,1399,1481
399,1575,1663
399.5,1510,1598
400,1571,1661
400.4,1564,1653
400.9,1562,1652
401.3,1561,1650
401.8,1523,1614
402.3,1516,1607
402.7,1523,1608
403.2,1535,1629
403.6,1504,1595
404.1,1508,1597
404.6,1527,1614
405,1531,1625
405.5,1541,1629
406,1505,1592
406.4,1464,1550
406.9,1571,1662
407.3,1534,1627
407.8,1515,1608
408.3,1562,1654
408.7,1350,1429
409.2,1560,1646
409.6,1522,1609
410.1,1563,1656
410.6,1559,1649
411,1504,1591
411.5,1469,1559
412,1513,1604
412.4,1579,1674
412.9,1559,1646
413.3,1589,1675
413.8,1515,1606
414.3,1504,1592
414.7,1543,1632
415.2,1549,1642
415.6,1544,1633
416.1,1521,1605
416.6,1560,1651
417,1600,1685
417.5,1480,1567
418,1560,1653
418.4,1533,1626
418.9,1316,1398
419.3,1440,1527
419.8,1560,1646
420.3,1554,1641
420.7,1459,1548
421.2,1472,1563
421.7,1553,1641
422.1,1373,1461
422.6,1496,1579
423,1550,1638
423.5,1582,1668
424,1498,1582
424.4,1490,1580
424.9,1587,1675
425.4,1566,1655
425.8,1527,1616
426.3,1415,1504
426.7,1565,1655
427.2,1554,1646
427.7,1518,1605
428.1,1495,1588
428.6,1481,1570
429.1,1571,1658
429.5,1494,1590
430,1542,1635
430.4,1624,1713
430.9,1565,1655
431.4,1521,1612
431.8,1551,1638
432.3,1544,1632
432.8,1587,1669
433.2,1466,1554
433.7,1475,1567
434.1,1550,1640
434.6,1584,1670
435.1,1471,1557
435.5,1558,1646
436,1524,1607
436.5,1496,1573
436.9,1458,1545
437.4,1517,1602
437.9,1380,1468
438.3,1537,1627
438.8,1543,1628
439.2,1567,1656
439.7,1555,1644
440.2,1363,1458
440.6,1433,1525
441.1,1558,1640
441.6,1572,1657
442,1470,1564
442.5,1582,1671
443,1545,1635
443.4,1522,1611
443.9,1488,1576
444.3,1496,1562
444.8,1540,1630
445.3,1588,1678
445.7,1359,1451
446.2,1553,1640
446.7,1560,1651
447.1,1547,1636
447.6,1534,1624
448.1,1447,1542
448.5,1521,1609
449,1526,1612
449.5,1502,1596
449.9,1547,1633
450.4,1524,1607
450.8,1418,1504
451.3,1569,1663
451.8,1598,1686
452.2,1517,1612
452.7,1615,1700
453.2,1593,1680
453.6,1544,1630
454.1,1497,1588
454.6,1552,1643
455,1501,1589
455.5,1542,1632
456,1543,1632
456.4,1495,1587
456.9,1613,1695
457.4,1543,1635
457.8,1474,1563
458.3,1373,1457
458.7,1570,1656
459.2,1587,1673
459.7,1527,1613
460.1,1490,1583
460.6,1533,1624
461.1,1503,1598
461.5,1573,1660
462,1531,1624
462.5,1574,1664
462.9,1537,1627
463.4,1399,1482
463.9,1465,1554
464.3,1550,1639
464.8,1556,1644
465.3,1527,1616
465.7,1518,1613
466.2,1431,1520
466.7,1546,1630
467.1,1563,1648
467.6,1545,1635
468.1,1530,1615
468.5,1496,1591
469,1491,1577
469.4,1579,1669
469.9,1563,1656
470.4,1563,1658
470.8,1521,1610
471.3,1620,1709
471.8,1571,1662
472.2,1519,1612
472.7,1477,1568
473.2,1485,1573
473.6,1479,1568
474.1,1600,1680
474.6,1563,1648
475,1508,1602
475.5,1534,1631
476,1511,1602
476.4,1534,1615
476.9,1559,1647
477.4,1524,1621
477.8,1551,1641
478.3,1457,1542
478.8,1536,1628
479.2,1539,1629
479.7,1556,1645
480.2,1528,1619
480.6,1555,1641
481.1,1441,1526
481.6,1532,1622
482,1506,1592
482.5,1548,1633
483,1548,1642
483.4,1552,1640
483.9,1556,1643
484.4,1525,1617
484.8,1583,1668
485.3,1570,1661
485.8,1540,1627
486.2,1534,1623
486.7,1537,1629
487.2,1566,1655
487.6,1536,1630
488.1,1490,1585
488.6,1567,1661
489,1532,1623
489.5,1552,1640
490,1561,1652
490.4,1631,1718
490.9,1479,1564
491.4,1562,1651
491.8,1548,1640
492.3,1537,1629
492.8,1611,1702
493.2,1571,1663
493.7,1497,1586
494.2,1545,1633
494.6,1531,1622
495.1,1560,1652
495.6,1448,1537
496,1506,1598
496.5,1469,1560
497,1520,1610
497.5,1501,1586
497.9,1518,1599
498.4,1583,1671
498.9,1438,1521
499.3,1539,1629
499.8,1543,1629
500.3,1546,1637
500.7,1561,1653
501.2,1343,1430
501.7,1448,1532
502.1,1487,1579
502.6,1528,1622
503.1,1488,1579
503.5,1559,1649
504,1535,1625
504.5,1497,1591
504.9,1574,1661
505.4,1501,1591
505.9,1547,1632
506.3,1526,1613
506.8,1529,1627
507.3,1505,1595
507.8,1436,1527
508.2,1529,1618
508.7,1522,1617
509.2,1409,1498
509.6,1374,1465
510.1,1496,1583
510.6,1493,1578
511,1582,1671
511.5,1550,1635
512,1530,1618
512.4,1567,1653
512.9,1566,1655
513.4,1474,1561
513.8,1486,1578
514.3,1577,1664
514.8,1568,1658
515.3,1453,1542
515.7,1478,1567
516.2,1589,1678
516.7,1461,1550
517.1,1532,1623
517.6,1503,1588
518.1,1534,1625
518.5,1531,1617
519,1414,1504
519.5,1508,1597
519.9,1557,1644
520.4,1539,1635
520.9,1516,1610
521.4,1446,1539
521.8,1507,1597
522.3,1473,1562
522.8,1552,1641
523.2,1454,1543
523.7,1524,1616
524.2,1356,1440
524.6,1523,1612
525.1,1587,1673
525.6,1573,1661
526,1535,1626
526.5,1537,1624
527,1551,1639
527.5,1521,1615
527.9,1536,1625
528.4,1573,1661
528.9,1553,1643
529.3,1396,1489
529.8,1582,1667
530.3,1524,1612
530.7,1554,1649
531.2,1525,1608
531.7,1532,1626
532.2,1500,1586
532.6,1547,1640
533.1,1555,1641
533.6,1531,1618
534,1559,1652
534.5,1514,1603
535,1555,1646
535.4,1535,1625
535.9,1552,1643
536.4,1424,1511
536.9,1586,1670
537.3,1502,1588
537.8,1563,1652
538.3,1540,1631
538.7,1595,1685
539.2,1578,1669
539.7,1549,1637
