Time,Wed Jan  8 12:40:06 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,26.15
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1454,1521
338.1,1414,1486
338.5,1552,1617
339,1445,1510
339.4,1483,1558
339.9,1383,1451
340.3,1570,1640
340.8,1568,1637
341.3,1288,1358
341.7,1482,1553
342.2,1562,1633
342.6,1459,1530
343.1,1529,1598
343.5,1549,1623
344,1552,1624
344.5,1503,1575
344.9,1494,1567
345.4,1488,1564
345.8,1478,1553
346.3,1540,1614
346.7,1523,1600
347.2,1432,1507
347.7,1513,1587
348.1,1492,1565
348.6,1364,1434
349,1558,1626
349.5,1499,1570
349.9,1554,1627
350.4,1440,1508
350.9,1500,1568
351.3,1566,1637
351.8,1522,1601
352.2,1558,1634
352.7,1472,1543
353.1,1475,1556
353.6,1533,1611
354.1,1511,1585
354.5,1433,1509
355,1439,1508
355.4,1521,1588
355.9,1525,1600
356.3,1548,1619
356.8,1508,1585
357.3,1543,1614
357.7,1502,1575
358.2,1560,1627
358.6,1514,1587
359.1,1562,1635
359.5,1518,1588
360,1495,1555
360.5,1546,1619
360.9,1516,1594
361.4,1499,1573
361.8,1558,1630
362.3,1464,1536
362.7,1457,1532
363.2,1501,1576
363.7,1545,1621
364.1,1551,1628
364.6,1538,1612
365,1425,1495
365.5,1376,1449
366,1252,1307
366.4,1445,1517
366.9,1487,1561
367.3,1539,1608
367.8,1568,1643
368.2,1566,1633
368.7,1438,1511
369.2,1502,1576
369.6,1524,1597
370.1,1532,1600
370.5,1523,1596
371,1522,1592
371.5,1433,1502
371.9,1425,1491
372.4,1498,1571
372.8,1510,1580
373.3,1520,1592
373.8,1524,1600
374.2,1551,1623
374.7,1534,1607
375.1,1494,1571
375.6,1553,1625
376,1511,1580
376.5,1462,1539
377,1542,1610
377.4,1551,1619
377.9,1472,1549
378.3,1523,1596
378.8,1584,1649
379.3,1556,1629
379.7,1517,1590
380.2,1520,1596
380.6,1578,1662
381.1,1524,1599
381.6,1536,1611
382,1521,1597
382.5,1534,1612
382.9,1543,1616
383.4,1562,1632
383.9,1491,1567
384.3,1504,1576
384.8,1519,1592
385.2,1479,1553
385.7,1476,1545
386.2,1572,1644
386.6,1513,1589
387.1,1431,1507
387.5,1543,1622
388,1552,1626
388.5,1416,1490
388.9,1576,1652
389.4,1568,1641
389.8,1542,1615
390.3,1440,1507
390.8,1535,1608
391.2,1516,1594
391.7,1499,1567
392.1,1530,1599
392.6,1494,1565
393.1,1531,1602
393.5,1469,1542
394,1585,1658
394.4,1299,1373
394.9,1539,1611
395.4,1540,1611
395.8,1569,1637
396.3,1553,1623
396.7,1502,1569
397.2,1549,1627
397.7,1489,1554
398.1,1532,1603
398.6,1407,1466
399,1565,1634
399.5,1507,1578
400,1562,1639
400.4,1556,1629
400.9,1554,1632
401.3,1553,1623
401.8,1519,1595
402.3,1513,1590
402.7,1519,1591
403.2,1530,1602
403.6,1502,1577
404.1,1505,1576
404.6,1523,1599
405,1526,1597
405.5,1535,1605
406,1503,1575
406.4,1465,1541
406.9,1562,1632
407.3,1528,1601
407.8,1512,1584
408.3,1554,1627
408.7,1363,1423
409.2,1553,1624
409.6,1518,1589
410.1,1555,1628
410.6,1551,1623
411,1501,1574
411.5,1470,1546
412,1510,1588
412.4,1570,1642
412.9,1551,1625
413.3,1578,1645
413.8,1512,1586
414.3,1501,1578
414.7,1537,1610
415.2,1543,1625
415.6,1538,1614
416.1,1517,1584
416.6,1552,1625
417,1589,1657
417.5,1480,1552
418,1552,1624
418.4,1528,1594
418.9,1332,1397
419.3,1444,1516
419.8,1552,1623
420.3,1547,1623
420.7,1462,1534
421.2,1473,1542
421.7,1546,1619
422.1,1383,1460
422.6,1494,1568
423,1543,1619
423.5,1572,1642
424,1497,1565
424.4,1489,1566
424.9,1577,1646
425.4,1558,1626
425.8,1522,1595
426.3,1422,1498
426.7,1557,1633
427.2,1547,1622
427.7,1515,1588
428.1,1494,1565
428.6,1481,1556
429.1,1562,1637
429.5,1493,1564
430,1536,1606
430.4,1610,1677
430.9,1557,1631
431.4,1517,1589
431.8,1544,1615
432.3,1538,1619
432.8,1576,1648
433.2,1467,1543
433.7,1476,1548
434.1,1544,1614
434.6,1574,1644
435.1,1472,1548
435.5,1551,1626
436,1520,1584
436.5,1494,1564
436.9,1461,1549
437.4,1514,1587
437.9,1390,1463
438.3,1531,1606
438.8,1537,1605
439.2,1559,1629
439.7,1548,1626
440.2,1375,1452
440.6,1438,1514
441.1,1550,1615
441.6,1563,1632
442,1471,1551
442.5,1572,1642
443,1539,1609
443.4,1518,1587
443.9,1487,1561
444.3,1495,1545
444.8,1534,1607
445.3,1577,1650
445.7,1371,1448
446.2,1546,1613
446.7,1553,1624
447.1,1541,1615
447.6,1528,1609
448.1,1450,1526
448.5,1517,1587
449,1522,1601
449.5,1500,1570
449.9,1541,1617
450.4,1520,1591
450.8,1424,1495
451.3,1561,1632
451.8,1587,1658
452.2,1513,1592
452.7,1602,1670
453.2,1582,1658
453.6,1538,1610
454.1,1495,1574
454.6,1545,1615
455,1499,1575
455.5,1536,1608
456,1537,1608
456.4,1494,1568
456.9,1600,1665
457.4,1537,1613
457.8,1475,1552
458.3,1384,1450
458.7,1561,1632
459.2,1577,1650
459.7,1522,1596
460.1,1489,1560
460.6,1528,1601
461.1,1501,1572
461.5,1564,1631
462,1527,1600
462.5,1565,1636
462.9,1531,1606
463.4,1407,1471
463.9,1466,1529
464.3,1544,1614
464.8,1549,1622
465.3,1523,1594
465.7,1515,1592
466.2,1436,1510
466.7,1540,1615
467.1,1555,1624
467.6,1539,1605
468.1,1525,1594
468.5,1495,1569
469,1490,1560
469.4,1569,1645
469.9,1555,1632
470.4,1555,1628
470.8,1517,1589
471.3,1607,1678
471.8,1562,1633
472.2,1516,1595
472.7,1477,1551
473.2,1485,1558
473.6,1480,1552
474.1,1588,1653
474.6,1555,1630
475,1505,1586
475.5,1529,1602
476,1508,1582
476.4,1529,1599
476.9,1551,1630
477.4,1520,1603
477.8,1544,1619
478.3,1459,1531
478.8,1531,1600
479.2,1533,1608
479.7,1549,1619
480.2,1523,1588
480.6,1548,1616
481.1,1445,1519
481.6,1527,1605
482,1504,1578
482.5,1541,1611
483,1542,1620
483.4,1545,1614
483.9,1549,1619
484.4,1521,1596
484.8,1573,1642
485.3,1561,1635
485.8,1535,1604
486.2,1529,1604
486.7,1532,1608
487.2,1558,1626
487.6,1531,1604
488.1,1489,1561
488.6,1559,1630
489,1527,1599
489.5,1545,1621
490,1553,1623
490.4,1616,1685
490.9,1479,1549
491.4,1554,1626
491.8,1541,1615
492.3,1532,1605
492.8,1599,1668
493.2,1562,1635
493.7,1495,1567
494.2,1539,1609
494.6,1526,1598
495.1,1552,1620
495.6,1452,1525
496,1504,1576
496.5,1470,1542
497,1516,1586
497.5,1499,1571
497.9,1514,1584
498.4,1573,1643
498.9,1443,1511
499.3,1533,1608
499.8,1537,1610
500.3,1539,1616
500.7,1553,1625
501.2,1357,1423
501.7,1452,1520
502.1,1487,1561
502.6,1523,1599
503.1,1488,1556
503.5,1552,1625
504,1530,1602
504.5,1495,1573
504.9,1565,1635
505.4,1499,1568
505.9,1540,1613
506.3,1522,1592
506.8,1525,1601
507.3,1503,1575
507.8,1441,1512
508.2,1524,1601
508.7,1518,1600
509.2,1416,1487
509.6,1385,1457
510.1,1495,1565
510.6,1492,1561
511,1572,1646
511.5,1543,1614
512,1525,1594
512.4,1559,1624
512.9,1558,1631
513.4,1475,1544
513.8,1485,1560
514.3,1568,1639
514.8,1560,1629
515.3,1456,1526
515.7,1478,1555
516.2,1578,1649
516.7,1463,1536
517.1,1527,1604
517.6,1501,1579
518.1,1529,1602
518.5,1526,1595
519,1420,1480
519.5,1505,1573
519.9,1550,1622
520.4,1533,1611
520.9,1512,1588
521.4,1449,1520
521.8,1504,1584
522.3,1473,1545
522.8,1545,1621
523.2,1457,1534
523.7,1520,1592
524.2,1368,1433
524.6,1519,1590
525.1,1576,1649
525.6,1564,1635
526,1529,1603
526.5,1531,1605
527,1544,1620
527.5,1517,1595
527.9,1531,1601
528.4,1564,1636
528.9,1546,1624
529.3,1404,1481
529.8,1572,1647
530.3,1520,1589
530.7,1547,1617
531.2,1520,1591
531.7,1527,1602
532.2,1499,1573
532.6,1540,1616
533.1,1548,1622
533.6,1526,1601
534,1551,1625
534.5,1511,1582
535,1547,1625
535.4,1530,1605
535.9,1545,1616
536.4,1430,1499
536.9,1576,1645
537.3,1500,1574
537.8,1555,1631
538.3,1534,1611
538.7,1584,1655
539.2,1568,1645
539.7,1542,1614
540.2,1479,1549
540.6,1538,1612
541.1,1528,1600
541.6,1534,1610
542,1570,1640
542.5,1532,1603
543,1542,1615
543.5,1526,1601
543.9,1542,1617
544.4,1518,1588
544.9,1477,1548
545.3,1529,1605
545.8,1555,1627
546.3,1522,1599
546.7,1507,1580
547.2,1537,1582
547.7,1533,1607
548.2,1559,1632
548.6,1548,1619
549.1,1473,1545
549.6,1568,1643
550,1520,1593
550.5,1497,1574
551,1535,1611
551.5,1567,1641
551.9,1540,1608
552.4,1503,1579
552.9,1540,1612
553.3,1551,1628
553.8,1463,1534
554.3,1527,1592
554.8,1549,1626
555.2,1358,1424
555.7,1574,1648
556.2,1549,1624
556.7,1573,1649
557.1,1538,1618
557.6,1551,1627
558.1,1515,1588
558.5,1477,1550
559,1498,1569
559.5,1570,1660
560,1534,1609
560.4,1532,1606
560.9,1519,1595
561.4,1544,1615
561.8,1489,1561
562.3,1552,1630
562.8,1520,1596
563.3,1529,1604
563.7,1542,1614
564.2,1363,1436
564.7,1470,1539
565.2,1420,1491
565.6,1507,1578
566.1,1577,1646
566.6,1564,1642
567,1545,1618
567.5,1540,1612
568,1531,1605
568.5,1500,1571
568.9,1491,1563
569.4,1515,1592
569.9,1473,1550
570.4,1484,1558
570.8,1541,1617
571.3,1544,1620
571.8,1541,1611
572.2,1506,1583
572.7,1550,1625
573.2,1518,1594
573.7,1554,1627
574.1,1537,1611
574.6,1559,1634
575.1,1572,1647
575.6,1548,1618
576,1515,1594
576.5,1505,1583
577,1570,1643
577.4,1458,1531
577.9,1514,1579
578.4,1460,1539
578.9,1529,1606
579.3,1479,1557
579.8,1512,1586
580.3,1539,1608
580.8,1528,1606
581.2,1518,1589
581.7,1548,1624
582.2,1554,1628
582.7,1391,1458
583.1,1463,1539
583.6,1467,1544
584.1,1467,1540
584.6,1561,1632
585,1557,1629
585.5,1527,1601
586,1526,1602
586.4,1559,1636
586.9,1555,1627
587.4,1563,1631
587.9,887.9,957
588.3,1514,1592
588.8,1460,1533
589.3,1493,1571
589.8,1535,1612
590.2,1519,1593
590.7,1564,1641
591.2,1544,1612
591.7,1468,1541
592.1,1536,1613
592.6,1470,1541
593.1,1574,1652
593.6,1549,1625
594,1495,1564
594.5,1455,1532
595,1438,1514
595.5,1455,1534
595.9,1522,1595
596.4,1463,1540
596.9,1483,1555
597.4,1553,1629
597.8,1585,1656
598.3,1561,1638
598.8,1521,1591
599.3,1553,1633
599.7,1575,1649
600.2,1515,1591
600.7,1537,1615
601.2,1448,1520
601.6,1559,1633
602.1,1579,1650
602.6,1541,1615
603.1,1558,1631
603.5,1391,1470
604,1512,1584
604.5,1563,1634
605,1539,1608
