Time,Thu Jan  9 12:03:32 2020
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,27.11
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1452,1532
338.1,1410,1490
338.5,1556,1635
339,1442,1518
339.4,1483,1563
339.9,1377,1456
340.3,1575,1656
340.8,1573,1652
341.3,1277,1349
341.7,1482,1558
342.2,1567,1650
342.6,1457,1541
343.1,1532,1611
343.5,1553,1634
344,1556,1635
344.5,1504,1580
344.9,1495,1580
345.4,1488,1569
345.8,1478,1559
346.3,1544,1625
346.7,1526,1609
347.2,1429,1518
347.7,1515,1592
348.1,1493,1571
348.6,1357,1432
349,1563,1642
349.5,1500,1578
349.9,1559,1635
350.4,1438,1509
350.9,1501,1581
351.3,1572,1652
351.8,1524,1606
352.2,1562,1643
352.7,1471,1547
353.1,1475,1560
353.6,1536,1616
354.1,1513,1591
354.5,1430,1511
355,1436,1515
355.4,1523,1599
355.9,1528,1612
356.3,1552,1634
356.8,1510,1593
357.3,1547,1625
357.7,1504,1585
358.2,1565,1642
358.6,1516,1601
359.1,1567,1642
359.5,1520,1601
360,1496,1570
360.5,1549,1637
360.9,1518,1596
361.4,1500,1575
361.8,1563,1645
362.3,1463,1537
362.7,1456,1539
363.2,1502,1583
363.7,1549,1624
364.1,1555,1635
364.6,1541,1622
365,1422,1499
365.5,1370,1447
366,1238,1303
366.4,1442,1522
366.9,1487,1569
367.3,1543,1626
367.8,1573,1650
368.2,1571,1646
368.7,1436,1518
369.2,1503,1588
369.6,1527,1607
370.1,1535,1612
370.5,1525,1609
371,1525,1603
371.5,1430,1507
371.9,1422,1501
372.4,1499,1579
372.8,1512,1594
373.3,1522,1600
373.8,1526,1610
374.2,1555,1632
374.7,1538,1621
375.1,1495,1579
375.6,1557,1640
376,1513,1586
376.5,1461,1545
377,1545,1625
377.4,1555,1634
377.9,1472,1556
378.3,1526,1607
378.8,1590,1662
379.3,1560,1638
379.7,1520,1599
380.2,1522,1606
380.6,1584,1660
381.1,1526,1605
381.6,1540,1623
382,1524,1602
382.5,1537,1615
382.9,1546,1626
383.4,1567,1647
383.9,1491,1571
384.3,1505,1585
384.8,1521,1600
385.2,1479,1556
385.7,1475,1552
386.2,1578,1660
386.6,1515,1601
387.1,1428,1509
387.5,1547,1635
388,1556,1640
388.5,1412,1497
388.9,1582,1661
389.4,1573,1651
389.8,1546,1628
390.3,1438,1519
390.8,1538,1620
391.2,1518,1599
391.7,1500,1578
392.1,1533,1612
392.6,1494,1578
393.1,1534,1616
393.5,1468,1549
394,1591,1671
394.4,1288,1372
394.9,1543,1625
395.4,1543,1625
395.8,1574,1653
396.3,1557,1640
396.7,1503,1583
397.2,1553,1627
397.7,1490,1560
398.1,1535,1614
398.6,1403,1475
399,1570,1651
399.5,1509,1589
400,1567,1651
400.4,1561,1642
400.9,1558,1642
401.3,1558,1633
401.8,1522,1603
402.3,1514,1598
402.7,1521,1606
403.2,1533,1616
403.6,1503,1588
404.1,1506,1586
404.6,1525,1604
405,1529,1610
405.5,1539,1620
406,1504,1580
406.4,1464,1545
406.9,1567,1647
407.3,1531,1613
407.8,1513,1595
408.3,1558,1643
408.7,1356,1431
409.2,1557,1638
409.6,1520,1596
410.1,1559,1639
410.6,1555,1632
411,1503,1586
