Time,Tue Nov 26 10:25:42 2019
Serial Number,S10535
Integration time (microseconds),5000000
Sensor temperature,28.73
Wavelengths (nm),Dark (counts),Intensity (counts)
337.6,1449,1543
338.1,1403,1500
338.5,1564,1660
339,1439,1542
339.4,1483,1582
339.9,1367,1463
340.3,1585,1684
340.8,1583,1680
341.3,1256,1353
341.7,1482,1578
342.2,1576,1673
342.6,1455,1552
343.1,1538,1637
343.5,1560,1657
344,1564,1657
344.5,1506,1602
344.9,1496,1593
345.4,1489,1591
345.8,1477,1580
346.3,1550,1646
346.7,1531,1628
347.2,1424,1526
347.7,1519,1616
348.1,1494,1587
348.6,1344,1441
349,1571,1666
349.5,1502,1603
349.9,1567,1665
350.4,1433,1527
350.9,1503,1593
351.3,1581,1679
351.8,1529,1629
352.2,1571,1664
352.7,1470,1568
353.1,1474,1575
353.6,1542,1641
354.1,1516,1613
354.5,1425,1523
355,1432,1525
355.4,1528,1626
355.9,1533,1628
356.3,1559,1654
356.8,1513,1609
357.3,1553,1646
357.7,1506,1603
358.2,1574,1674
358.6,1520,1617
359.1,1576,1675
359.5,1524,1619
360,1497,1592
360.5,1556,1662
360.9,1522,1625
361.4,1502,1600
361.8,1571,1667
362.3,1461,1562
362.7,1453,1550
363.2,1504,1598
363.7,1556,1653
364.1,1563,1663
364.6,1547,1648
365,1416,1510
365.5,1358,1455
366,1213,1305
366.4,1438,1533
366.9,1488,1585
367.3,1549,1645
367.8,1582,1681
368.2,1581,1681
368.7,1431,1529
369.2,1506,1605
369.6,1531,1630
370.1,1541,1639
370.5,1530,1626
371,1529,1629
371.5,1424,1522
371.9,1416,1511
372.4,1500,1600
372.8,1515,1614
373.3,1527,1619
373.8,1531,1634
374.2,1563,1661
374.7,1544,1645
375.1,1496,1593
375.6,1565,1663
376,1517,1608
376.5,1459,1561
377,1552,1652
377.4,1563,1662
377.9,1471,1565
378.3,1530,1629
378.8,1601,1691
379.3,1569,1666
379.7,1524,1624
380.2,1527,1626
380.6,1594,1701
381.1,1531,1633
381.6,1546,1646
382,1528,1626
382.5,1543,1637
382.9,1553,1651
383.4,1576,1674
383.9,1493,1590
384.3,1508,1603
384.8,1525,1625
