x=sensor temperature [°C], y= Integrationtime [ms], z=counts
NOTE: in the raw data .csv files Integrationtime is given in microseconds instead of milliseconds
thus the Integrationtime has to be devided by 1000 before using it as "y" with this calibration file. 
PIXEL SELECTION: pixels with FIT_RMSE > 3.25 (RMSE in training dataset) &  dead pixels with SELECT_RMSE > 25 (RMSE in selection dataset) should be excluded from further analysis.
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	FIT_RMSE	SELECT_RMSE	p00	p10	p01	p20	p11	p30	p21
337.606000	2.559962e+00	NaN	1.429663e+03	8.816432	1.752381e-02	-0.358133	-2.337253e-03	0.004557	7.046785e-05	
338.062000	2.445455e+00	NaN	1.433439e+03	8.315708	1.502705e-02	-0.337526	-2.322900e-03	0.004246	6.241059e-05	
338.519000	2.761708e+00	NaN	1.400120e+03	12.303466	3.095188e-02	-0.490748	-3.353619e-03	0.006194	1.188318e-04	
338.975000	2.332624e+00	NaN	1.422317e+03	9.587227	1.955200e-02	-0.384850	-2.796797e-03	0.004870	8.226395e-05	
339.431000	2.863022e+00	NaN	1.427568e+03	8.980742	2.117599e-02	-0.361294	-2.595298e-03	0.004570	8.485353e-05	
339.888000	2.548737e+00	NaN	1.422304e+03	9.772375	1.639007e-02	-0.394731	-2.973820e-03	0.005021	7.430516e-05	
340.344000	2.621204e+00	NaN	1.401177e+03	12.333863	3.080069e-02	-0.496297	-3.217009e-03	0.006334	1.192809e-04	
340.801000	2.819964e+00	NaN	1.401850e+03	12.190676	3.016334e-02	-0.486142	-3.216396e-03	0.006146	1.182852e-04	
341.257000	2.523482e+00	NaN	1.440671e+03	7.296439	4.518912e-03	-0.295382	-2.061841e-03	0.003725	3.036845e-05	
341.714000	2.610433e+00	NaN	1.409382e+03	11.134050	2.374884e-02	-0.444338	-3.029299e-03	0.005623	9.597835e-05	
342.170000	2.616131e+00	NaN	1.413706e+03	10.763109	2.937999e-02	-0.432924	-3.058959e-03	0.005486	1.137535e-04	
342.627000	2.450623e+00	NaN	1.429124e+03	8.889315	1.797924e-02	-0.358602	-2.372158e-03	0.004565	7.367109e-05	
343.083000	2.723567e+00	NaN	1.394977e+03	12.911200	2.983405e-02	-0.514314	-3.238506e-03	0.006506	1.092842e-04	
343.540000	2.449141e+00	NaN	1.419509e+03	9.735092	2.875821e-02	-0.386187	-2.923182e-03	0.004856	1.058406e-04	
343.997000	2.549120e+00	NaN	1.415848e+03	10.527059	2.783808e-02	-0.423952	-2.927885e-03	0.005409	1.077265e-04	
344.453000	2.585139e+00	NaN	1.414521e+03	10.642917	2.487093e-02	-0.428759	-2.950475e-03	0.005441	9.797025e-05	
344.910000	2.495222e+00	NaN	1.439631e+03	7.641936	2.068476e-02	-0.312196	-2.499188e-03	0.004001	8.525617e-05	
345.367000	2.544757e+00	NaN	1.433572e+03	8.187289	2.171661e-02	-0.330277	-2.553262e-03	0.004185	8.396595e-05	
345.824000	2.534709e+00	NaN	1.430571e+03	8.646926	2.029289e-02	-0.349801	-2.427292e-03	0.004453	7.823205e-05	
346.281000	2.486477e+00	NaN	1.409863e+03	11.341858	2.764573e-02	-0.456660	-2.981910e-03	0.005819	1.064180e-04	
346.738000	2.502451e+00	NaN	1.420182e+03	9.972780	2.521259e-02	-0.398687	-2.755664e-03	0.005048	9.714472e-05	
347.194000	2.475789e+00	NaN	1.436043e+03	7.906408	1.540067e-02	-0.319522	-2.097667e-03	0.004077	6.008496e-05	
347.651000	2.660137e+00	NaN	1.406512e+03	11.686451	2.653177e-02	-0.472142	-3.020315e-03	0.006035	1.011889e-04	
348.108000	2.832916e+00	NaN	1.420636e+03	9.851318	2.004092e-02	-0.400921	-2.465801e-03	0.005127	8.483189e-05	
348.565000	2.595590e+00	NaN	1.441792e+03	7.241372	1.110097e-02	-0.291173	-2.311188e-03	0.003667	5.265372e-05	
349.022000	2.729178e+00	NaN	1.416555e+03	10.426811	2.863671e-02	-0.420933	-3.078921e-03	0.005371	1.125144e-04	
349.480000	2.640912e+00	NaN	1.420489e+03	9.822179	2.265484e-02	-0.392202	-2.635584e-03	0.004966	8.821449e-05	
349.937000	2.473281e+00	NaN	1.412847e+03	10.839847	2.842311e-02	-0.436868	-2.968490e-03	0.005555	1.091067e-04	
350.394000	2.490074e+00	NaN	1.423630e+03	9.441648	1.842505e-02	-0.376571	-2.804265e-03	0.004740	8.181335e-05	
350.851000	2.773619e+00	NaN	1.425517e+03	9.314876	2.326847e-02	-0.373446	-2.896321e-03	0.004720	9.614252e-05	
351.308000	2.709128e+00	NaN	1.410363e+03	11.032402	3.046218e-02	-0.439285	-3.146106e-03	0.005547	1.161310e-04	
351.765000	2.766375e+00	NaN	1.418734e+03	9.884394	2.469721e-02	-0.391878	-2.654634e-03	0.004931	9.396178e-05	
352.223000	2.776605e+00	NaN	1.399525e+03	12.266190	3.076623e-02	-0.486706	-3.173321e-03	0.006150	1.144567e-04	
352.680000	2.558845e+00	NaN	1.414523e+03	10.664525	2.226001e-02	-0.429420	-2.761686e-03	0.005456	8.575947e-05	
353.137000	2.764509e+00	NaN	1.431226e+03	8.527201	2.001055e-02	-0.339166	-2.326138e-03	0.004251	7.491926e-05	
353.595000	2.500479e+00	NaN	1.419000e+03	10.068145	2.573141e-02	-0.403721	-2.817415e-03	0.005119	1.015803e-04	
354.052000	2.684660e+00	NaN	1.414929e+03	10.359894	2.576834e-02	-0.409328	-2.997480e-03	0.005131	1.004687e-04	
354.510000	2.768762e+00	NaN	1.412508e+03	10.825181	1.960512e-02	-0.435104	-2.608410e-03	0.005540	7.237969e-05	
354.967000	2.428969e+00	NaN	1.424383e+03	9.366734	1.702623e-02	-0.375615	-2.304515e-03	0.004770	6.605106e-05	
355.425000	2.558641e+00	NaN	1.420071e+03	9.922397	2.505005e-02	-0.399426	-2.952507e-03	0.005073	1.023823e-04	
355.882000	2.603031e+00	NaN	1.421274e+03	9.690908	2.471987e-02	-0.384761	-2.684096e-03	0.004833	9.516772e-05	
356.340000	2.638307e+00	NaN	1.411044e+03	11.125231	2.857888e-02	-0.450063	-3.067811e-03	0.005768	1.102738e-04	
356.797000	2.607383e+00	NaN	1.430269e+03	8.718959	2.174791e-02	-0.351920	-2.463555e-03	0.004466	8.621623e-05	
357.255000	2.544423e+00	NaN	1.405020e+03	11.960389	2.861079e-02	-0.483970	-3.123244e-03	0.006205	1.104011e-04	
357.713000	2.706762e+00	NaN	1.406708e+03	11.433451	2.453501e-02	-0.452663	-2.808542e-03	0.005693	9.279190e-05	
358.170000	2.913675e+00	NaN	1.407183e+03	11.597465	2.975436e-02	-0.466704	-3.171539e-03	0.005952	1.155174e-04	
358.628000	2.443122e+00	NaN	1.422094e+03	9.754385	2.289547e-02	-0.392544	-2.579611e-03	0.004984	9.033972e-05	
359.086000	2.651026e+00	NaN	1.407426e+03	11.366566	3.017893e-02	-0.455045	-3.183520e-03	0.005745	1.167235e-04	
359.544000	2.561583e+00	NaN	1.424889e+03	9.323084	2.403876e-02	-0.373440	-2.708735e-03	0.004722	9.484516e-05	
360.002000	2.460976e+00	NaN	1.440075e+03	7.621346	2.270440e-02	-0.313038	-3.017261e-03	0.004036	9.949971e-05	
360.459000	2.710440e+00	NaN	1.414060e+03	10.656172	2.592891e-02	-0.426073	-2.795642e-03	0.005390	1.040226e-04	
360.917000	2.513614e+00	NaN	1.418177e+03	10.114958	2.416303e-02	-0.406243	-2.651055e-03	0.005171	9.239337e-05	
361.375000	2.807085e+00	NaN	1.408715e+03	11.346378	2.393666e-02	-0.454410	-2.966576e-03	0.005783	9.826989e-05	
361.833000	2.776068e+00	NaN	1.405154e+03	11.637427	2.949433e-02	-0.461921	-3.047698e-03	0.005808	1.117766e-04	
362.291000	2.552241e+00	NaN	1.426507e+03	9.043032	2.062450e-02	-0.360470	-2.619429e-03	0.004540	8.076166e-05	
362.749000	2.707548e+00	NaN	1.417688e+03	10.063924	2.098974e-02	-0.401382	-2.965418e-03	0.005061	9.088773e-05	
363.207000	2.631153e+00	NaN	1.414689e+03	10.441605	2.288358e-02	-0.415866	-2.540566e-03	0.005246	8.537062e-05	
363.665000	2.609638e+00	NaN	1.418381e+03	9.940792	2.704675e-02	-0.398390	-2.859067e-03	0.005023	1.037184e-04	
364.124000	2.653297e+00	NaN	1.421752e+03	9.733586	2.723233e-02	-0.392967	-2.822441e-03	0.004977	1.049896e-04	
364.582000	2.704320e+00	NaN	1.406563e+03	11.630591	2.712859e-02	-0.470400	-2.927372e-03	0.006021	1.041275e-04	
365.040000	2.552261e+00	NaN	1.436823e+03	7.813044	1.431759e-02	-0.314476	-2.157963e-03	0.003978	6.032060e-05	
365.498000	2.553808e+00	NaN	1.420293e+03	9.923253	1.516715e-02	-0.400482	-2.846842e-03	0.005100	6.930708e-05	
365.957000	2.881361e+00	NaN	1.421126e+03	9.937395	3.854783e-03	-0.408163	-2.972474e-03	0.005249	5.102153e-05	
366.415000	2.613986e+00	NaN	1.429590e+03	8.642956	1.692813e-02	-0.345320	-2.398916e-03	0.004352	7.124301e-05	
366.873000	2.495069e+00	NaN	1.418764e+03	10.119842	2.097803e-02	-0.409388	-2.481230e-03	0.005240	8.193017e-05	
367.332000	2.547971e+00	NaN	1.416223e+03	10.340711	2.770712e-02	-0.412694	-3.178528e-03	0.005207	1.123318e-04	
367.790000	2.495441e+00	NaN	1.409219e+03	11.187189	3.066773e-02	-0.446518	-3.203368e-03	0.005627	1.183241e-04	
368.248000	2.788968e+00	NaN	1.412844e+03	10.873731	3.013467e-02	-0.440661	-3.102236e-03	0.005653	1.150125e-04	
368.707000	2.584842e+00	NaN	1.419861e+03	9.819574	1.841337e-02	-0.391277	-2.479657e-03	0.004931	7.037909e-05	
369.165000	2.502237e+00	NaN	1.428077e+03	9.059741	2.193301e-02	-0.370681	-2.566191e-03	0.004756	8.818843e-05	
369.624000	2.476754e+00	NaN	1.411938e+03	10.891868	2.510763e-02	-0.436166	-2.727995e-03	0.005541	9.499253e-05	
370.083000	2.606763e+00	NaN	1.417584e+03	10.219859	2.711373e-02	-0.409261	-3.043298e-03	0.005198	1.058442e-04	
370.541000	2.691087e+00	NaN	1.421508e+03	9.748925	2.593628e-02	-0.390177	-2.863441e-03	0.004938	9.947740e-05	
371.000000	2.619923e+00	NaN	1.404460e+03	11.797516	2.622212e-02	-0.472473	-2.956180e-03	0.006004	1.017510e-04	
371.458000	2.680491e+00	NaN	1.420154e+03	9.669511	1.872113e-02	-0.385919	-2.999149e-03	0.004859	8.668906e-05	
371.917000	2.553372e+00	NaN	1.433574e+03	8.122199	1.579148e-02	-0.322683	-2.555597e-03	0.004048	7.274024e-05	
372.376000	2.546900e+00	NaN	1.430143e+03	8.700240	2.343826e-02	-0.348472	-2.777935e-03	0.004394	9.221312e-05	
372.835000	2.547651e+00	NaN	1.415566e+03	10.444128	2.394149e-02	-0.419605	-2.724691e-03	0.005334	9.299127e-05	
373.293000	2.755216e+00	NaN	1.394257e+03	13.137089	3.214512e-02	-0.523157	-3.578386e-03	0.006612	1.155756e-04	
373.752000	2.830995e+00	NaN	1.411286e+03	10.829669	2.505834e-02	-0.429584	-2.828785e-03	0.005412	9.946833e-05	
374.211000	2.575542e+00	NaN	1.403291e+03	11.936375	2.845884e-02	-0.479253	-3.085356e-03	0.006103	1.118769e-04	
374.670000	2.983685e+00	NaN	1.407409e+03	11.367013	2.683267e-02	-0.451565	-2.847958e-03	0.005708	1.003777e-04	
375.129000	2.685412e+00	NaN	1.432201e+03	8.378958	2.222348e-02	-0.335506	-2.651109e-03	0.004241	8.778218e-05	
375.588000	2.589633e+00	NaN	1.403972e+03	11.867830	3.106183e-02	-0.473052	-3.211431e-03	0.005985	1.138680e-04	
376.047000	2.650413e+00	NaN	1.403162e+03	11.844277	2.566877e-02	-0.469174	-3.033158e-03	0.005922	1.013916e-04	
376.506000	2.596065e+00	NaN	1.420659e+03	9.855465	2.040878e-02	-0.401111	-2.586018e-03	0.005128	7.925780e-05	
376.965000	2.672341e+00	NaN	1.396771e+03	12.603540	2.990250e-02	-0.499294	-3.271728e-03	0.006277	1.136822e-04	
377.424000	2.543608e+00	NaN	1.405855e+03	11.489296	2.800508e-02	-0.454752	-2.987794e-03	0.005729	1.084541e-04	
377.883000	2.541085e+00	NaN	1.422667e+03	9.577071	2.066063e-02	-0.387093	-2.516368e-03	0.004941	7.921703e-05	
378.343000	2.640139e+00	NaN	1.425420e+03	9.270075	2.458336e-02	-0.373571	-2.721167e-03	0.004745	9.587078e-05	
378.802000	4.427388e+00	NaN	1.270885e+03	28.077485	5.535464e-02	-1.106560	-5.505650e-03	0.013910	1.716852e-04	
379.261000	2.930843e+00	NaN	1.399946e+03	12.207596	2.948500e-02	-0.486986	-2.985653e-03	0.006189	1.090674e-04	
379.720000	2.708592e+00	2.970426	1.407144e+03	11.502355	2.634308e-02	-0.458952	-2.953032e-03	0.005814	1.008188e-04	
380.180000	2.749569e+00	4.220882	1.420717e+03	9.868217	2.252937e-02	-0.399192	-2.466129e-03	0.005111	8.894291e-05	
380.639000	2.812433e+00	8.130846	1.398538e+03	12.520156	3.209618e-02	-0.501798	-3.334665e-03	0.006397	1.237164e-04	
381.098000	2.704591e+00	3.100293	1.422922e+03	9.564445	2.421861e-02	-0.386626	-2.618629e-03	0.004938	9.355869e-05	
381.558000	2.466891e+00	4.304983	1.421446e+03	9.800135	2.624041e-02	-0.394247	-2.803846e-03	0.005010	1.005145e-04	
382.017000	2.560735e+00	4.559644	1.422578e+03	9.484689	2.446085e-02	-0.378342	-2.744187e-03	0.004755	9.649691e-05	
382.477000	2.512459e+00	3.210130	1.416148e+03	10.185246	2.665944e-02	-0.403621	-2.874377e-03	0.005079	1.023067e-04	
382.936000	2.495114e+00	3.365888	1.410794e+03	11.125453	2.746812e-02	-0.446100	-2.959744e-03	0.005662	1.064997e-04	
383.396000	2.524559e+00	3.061500	1.412956e+03	10.830126	2.975389e-02	-0.434080	-3.151312e-03	0.005516	1.156213e-04	
